id,top,link,rating_count,price,skin_type,category,brand,bought_info,cluster_label
B074PVTPBW,1,https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_11060451_d_sccl_1/134-7398474-9093341?psc=1,171621,12.99,Face,Treatments & Masks,Mighty Patch,100000.0,Sustainable trend
B07PBXXNCY,2,https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_11060451_d_sccl_2/134-7398474-9093341?psc=1,31986,17.95,Face,Cloths & Towelettes,CLEAN SKIN CLUB,100000.0,Trending
B08KT2Z93D,3,https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/ref=zg_bs_g_11060451_d_sccl_3/134-7398474-9093341?psc=1,34201,8.98,Body,Lotions,eos,100000.0,Trending
B09V7Z4TJG,4,https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_11060451_d_sccl_4/134-7398474-9093341?psc=1,3606,17.9,Face,Toners & Astringents,medicube,100000.0,Trending
B00U2VQZDS,5,https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_11060451_d_sccl_5/134-7398474-9093341?psc=1,114909,9.97,Face,Cloths & Towelettes,Neutrogena,100000.0,Sustainable trend
B0B2RM68G2,6,https://www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/ref=zg_bs_g_11060451_d_sccl_6/134-7398474-9093341?psc=1,12171,19.0,Face,Masks,BIODANCE,100000.0,Trending
B01N9SPQHQ,7,https://www.amazon.com/Roche-Posay-Toleriane-Double-Repair-Moisturizer/dp/B01N9SPQHQ/ref=zg_bs_g_11060451_d_sccl_7/134-7398474-9093341?psc=1,64701,23.99,Face,Face Moisturizers,La Roche-Posay,92735.0,Trending
B081KL2QYJ,8,https://www.amazon.com/PanOxyl-Foaming-Peroxide-Strength-Antimicrobial/dp/B081KL2QYJ/ref=zg_bs_g_11060451_d_sccl_8/134-7398474-9093341?psc=1,67450,9.77,Face,Washes,PanOxyl,79371.0,Trending
B00MEDOY2G,9,https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/ref=zg_bs_g_11060451_d_sccl_9/134-7398474-9093341?psc=1,120758,10.99,Body,Body Washes,Dove,80000.0,Sustainable trend
B07MFMWFYL,10,https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07MFMWFYL/ref=zg_bs_g_11060451_d_sccl_10/134-7398474-9093341?psc=1,5041,8.58,Body,Hand Wash,MRS. MEYER'S CLEAN DAY,30000.0,Trending
B071914GGL,11,https://www.amazon.com/Ordinary-Exfoliating-Brightening-Smoothing-Even-Looking/dp/B071914GGL/ref=zg_bs_g_11060451_d_sccl_11/134-7398474-9093341?psc=1,23048,13.0,Face,Facial Peels,The Ordinary,85848.0,Trending
B09MFMCTRK,12,https://www.amazon.com/Valitic-Remover-Vitamin-Collagen-Turmeric/dp/B09MFMCTRK/ref=zg_bs_g_11060451_d_sccl_12/134-7398474-9093341?psc=1,44491,14.99,Body,Soaps,VALITIC,80000.0,Trending
B00TTD9BRC,13,https://www.amazon.com/CeraVe-Moisturizing-Cream-Daily-Moisturizer/dp/B00TTD9BRC/ref=zg_bs_g_11060451_d_sccl_13/134-7398474-9093341?psc=1,130868,16.61,Face,Face Moisturizers,CeraVe,100000.0,Sustainable trend
B00PBX3L7K,14,https://www.amazon.com/COSRX-Repairing-Hydrating-Secretion-Phthalates/dp/B00PBX3L7K/ref=zg_bs_g_11060451_d_sccl_14/134-7398474-9093341?psc=1,84196,18.44,Face,Serums,unknown,82466.0,Sustainable trend
B000YJ2SLG,15,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B000YJ2SLG/ref=zg_bs_g_11060451_d_sccl_15/134-7398474-9093341?psc=1,124291,13.68,Body,Lotions,CeraVe,60000.0,Sustainable trend
B00949CTQQ,16,https://www.amazon.com/Paulas-Choice-SKIN-PERFECTING-Exfoliant-Facial-Blackheads/dp/B00949CTQQ/ref=zg_bs_g_11060451_d_sccl_16/134-7398474-9093341?psc=1,106674,35.0,Face,Facial Peels,Paula's Choice,77474.0,Sustainable trend
B01MSSDEPK,17,https://www.amazon.com/CeraVe-Hydrating-Facial-Cleanser-Fragrance/dp/B01MSSDEPK/ref=zg_bs_g_11060451_d_sccl_17/134-7398474-9093341?psc=1,120140,15.48,Face,Washes,CeraVe,70000.0,Sustainable trend
B002MSN3QQ,18,https://www.amazon.com/EltaMD-Acne-Prone-Mineral-Based-Dermatologist-Recommended/dp/B002MSN3QQ/ref=zg_bs_g_11060451_d_sccl_18/134-7398474-9093341?psc=1,44479,44.0,Sunscreens & Tanning Products,Facial Sunscreens,unknown,70000.0,Trending
B0BRMYHMS5,19,https://www.amazon.com/Medicube-Collagen-Wrapping-Elasticity-Hydration/dp/B0BRMYHMS5/ref=zg_bs_g_11060451_d_sccl_19/134-7398474-9093341?psc=1,3086,18.9,Face,Masks,medicube,100000.0,Trending
B01MYEZPC8,20,https://www.amazon.com/Ordinary-Hyaluronic-Acid-2-30ml/dp/B01MYEZPC8/ref=zg_bs_g_11060451_d_sccl_20/134-7398474-9093341?psc=1,21869,9.9,Face,Serums,unknown,73962.0,Trending
B07TJG79HP,21,https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07TJG79HP/ref=zg_bs_g_11060451_d_sccl_21/134-7398474-9093341?psc=1,16600,14.64,Body,Hand Wash,MRS. MEYER'S CLEAN DAY,20000.0,Trending again
B00SK71SAG,22,https://www.amazon.com/Dove-Hypoallergenic-Paraben-Free-Sulfate-Free-Cruelty-Free/dp/B00SK71SAG/ref=zg_bs_g_11060451_d_sccl_22/134-7398474-9093341?psc=1,57214,9.87,Body,Body Washes,Dove,40000.0,Trending again
B014E2D6BY,23,https://www.amazon.com/Under-Eye-Patches-Gold-24-Pairs/dp/B014E2D6BY/ref=zg_bs_g_11060451_d_sccl_23/134-7398474-9093341?psc=1,31340,21.95,Eyes,Wrinkle Pads & Patches,grace & stella,30000.0,Trending again
B00365DABC,24,https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-Lightweight/dp/B00365DABC/ref=zg_bs_g_11060451_d_sccl_24/134-7398474-9093341?psc=1,55128,14.97,Face,Face Moisturizers,CeraVe,80000.0,Trending
B0BBSP2JNQ,25,https://www.amazon.com/Face-Moisturizer-Collagen-Cream-Moisturizing/dp/B0BBSP2JNQ/ref=zg_bs_g_11060451_d_sccl_25/134-7398474-9093341?psc=1,18886,22.99,Face,Neck & Décolleté,SimplyVital,70000.0,Trending
B01N1LL62W,26,https://www.amazon.com/CeraVe-Foaming-Facial-Cleanser-Washing/dp/B01N1LL62W/ref=zg_bs_g_11060451_d_sccl_26/134-7398474-9093341?psc=1,94677,15.48,Face,Washes,CeraVe,50000.0,Sustainable trend
B00SNPCSUY,27,https://www.amazon.com/CeraVe-Skin-Renewing-Night-Cream/dp/B00SNPCSUY/ref=zg_bs_g_11060451_d_sccl_27/134-7398474-9093341?psc=1,49844,16.47,Face,Night Creams,CeraVe,70000.0,Trending
B01N34XW93,28,https://www.amazon.com/Roche-Posay-Toleriane-Purifying-Sensitive-Niacinamide/dp/B01N34XW93/ref=zg_bs_g_11060451_d_sccl_28/134-7398474-9093341?psc=1,39230,17.99,Face,Washes,La Roche-Posay,61439.0,Trending
B08BW46XXK,29,https://www.amazon.com/Vanicream-Moisturizer-Hyaluronic-pH-Balanced-Dermatologist/dp/B08BW46XXK/ref=zg_bs_g_11060451_d_sccl_29/134-7398474-9093341?psc=1,18287,12.97,Face,Face Moisturizers,Vanicream,80000.0,Trending
B01MDTVZTZ,30,https://www.amazon.com/Ordinary-Niacinamide-10-Zinc-30ml/dp/B01MDTVZTZ/ref=zg_bs_g_11060451_d_sccl_30/134-7398474-9093341?psc=1,30690,6.0,Face,Serums,unknown,58338.0,Trending
B0BX2TZZWG,31,https://www.amazon.com/Tree-Hut-Variety-Strawberry-Champaine/dp/B0BX2TZZWG/ref=zg_bs_g_11060451_d_sccl_31/134-7398474-9093341?psc=1,143295,7.97,Body,Body Scrubs,Tree Hut,20000.0,Sustainable trend
B00F97FHAW,32,https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-AM/dp/B00F97FHAW/ref=zg_bs_g_11060451_d_sccl_32/134-7398474-9093341?psc=1,89946,14.97,Face,Face Moisturizers,CeraVe,70000.0,Sustainable trend
B07L1PHSY9,33,https://www.amazon.com/Differin-Adapalene-0-1-Acne-Treatment/dp/B07L1PHSY9/ref=zg_bs_g_11060451_d_sccl_33/134-7398474-9093341?psc=1,82734,14.97,Face,Treatments & Masks,Differin,60396.0,Sustainable trend
B00027DMSI,34,https://www.amazon.com/Frownies-Forehead-Between-Eyes-Patches/dp/B00027DMSI/ref=zg_bs_g_11060451_d_sccl_34/134-7398474-9093341?psc=1,37390,24.95,Eyes,Wrinkle Pads & Patches,Frownies,70000.0,Trending
B07YLKXV11,35,https://www.amazon.com/CeraVe-Sunscreen-Hydrating-Mineral-Titanium/dp/B07YLKXV11/ref=zg_bs_g_11060451_d_sccl_35/134-7398474-9093341?psc=1,62212,13.97,Sunscreens & Tanning Products,Facial Sunscreens,unknown,40000.0,Trending again
B079FV6PRH,36,https://www.amazon.com/Softsoap-Liquid-Hand-Fresh-Breeze/dp/B079FV6PRH/ref=zg_bs_g_11060451_d_sccl_36/134-7398474-9093341?psc=1,99451,8.34,Body,Hand Wash,Softsoap,30000.0,Trending again
B01N7T7JKJ,37,https://www.amazon.com/Roche-Posay-Toleriane-Hydrating-Gentle-Cleanser/dp/B01N7T7JKJ/ref=zg_bs_g_11060451_d_sccl_37/134-7398474-9093341?psc=1,36843,17.99,Face,Washes,La Roche-Posay,44675.0,Trending again
B07RW4CHC3,38,https://www.amazon.com/DRMTLGY-Anti-Aging-Moisturizer-Foundation-Protection/dp/B07RW4CHC3/ref=zg_bs_g_11060451_d_sccl_38/134-7398474-9093341?psc=1,31511,29.0,Face,Tinted Moisturizers,unknown,40000.0,Trending again
B07VRFC3Y7,39,https://www.amazon.com/SkinSmart-Cleanser-Bacteria-Athletes-Multiple/dp/B07VRFC3Y7/ref=zg_bs_g_11060451_d_sccl_39/134-7398474-9093341?psc=1,8784,17.46,Face,Washes,SkinSmart Antimicrobial,60000.0,Trending
B0060OUV5Y,40,https://www.amazon.com/Roche-Posay-Cicaplast-Baume-Multi-Purpose-Butter/dp/B0060OUV5Y/ref=zg_bs_g_11060451_d_sccl_40/134-7398474-9093341?psc=1,15139,15.99,Body,Creams,La Roche-Posay,42254.0,Trending again
B091NJQ29P,41,https://www.amazon.com/Good-Molecules-Formulated-Revitalize-Fragrance/dp/B091NJQ29P/ref=zg_bs_g_11060451_d_sccl_41/134-7398474-9093341?psc=1,17971,5.98,Eyes,Gels,unknown,60000.0,Trending
B003QXZWYW,42,https://www.amazon.com/Roche-Posay-Lipikar-Intense-Repair-Cream/dp/B003QXZWYW/ref=zg_bs_g_11060451_d_sccl_42/134-7398474-9093341?psc=1,32575,19.99,Body,Lotions,La Roche-Posay,39421.0,Trending again
B001459IEE,43,https://www.amazon.com/Aveeno-Moisturizing-Soothing-Emollients-Fragrance-Free/dp/B001459IEE/ref=zg_bs_g_11060451_d_sccl_43/134-7398474-9093341?psc=1,52700,9.97,Body,Lotions,Aveeno,40000.0,Trending again
B01M4MCUAF,44,https://www.amazon.com/TruSkin-Naturals-Vitamin-Topical-Hyaluronic/dp/B01M4MCUAF/ref=zg_bs_g_11060451_d_sccl_44/134-7398474-9093341?psc=1,149119,21.97,Face,Serums,unknown,40000.0,Sustainable trend
B00JJPMXDO,45,https://www.amazon.com/CeraVe-Repair-Cream-Circles-Puffiness/dp/B00JJPMXDO/ref=zg_bs_g_11060451_d_sccl_45/134-7398474-9093341?psc=1,67026,14.44,Eyes,Creams,CeraVe,50000.0,Trending again
B08CQ9T6KN,46,https://www.amazon.com/CeraVe-Salicylic-Cleanser-Exfoliating-Fragrance/dp/B08CQ9T6KN/ref=zg_bs_g_11060451_d_sccl_46/134-7398474-9093341?psc=1,74077,15.48,Face,Washes,CeraVe,30000.0,Trending again
B0107QPFBU,47,https://www.amazon.com/Aquaphor-Advanced-Therapy-Ointment-Protectant/dp/B0107QPFBU/ref=zg_bs_g_11060451_d_sccl_47/134-7398474-9093341?psc=1,40444,12.0,Body,Creams,Aquaphor,46343.0,Trending again
B07DY2QRF6,48,https://www.amazon.com/Laneige-Lip-Glowy-Balm-Berry/dp/B07DY2QRF6/ref=zg_bs_g_11060451_d_sccl_48/134-7398474-9093341?psc=1,29812,19.0,Lip Care,Balms & Moisturizers,LANEIGE,20000.0,Trending again
B0BVV8BNYJ,49,https://www.amazon.com/ANUA-Heartleaf-Quercetinol-Pore-Cleansing/dp/B0BVV8BNYJ/ref=zg_bs_g_11060451_d_sccl_49/134-7398474-9093341?psc=1,7868,13.0,Face,Washes,ANUA,80000.0,Trending
B086K2KMNR,50,https://www.amazon.com/Beauty-Moisturizing-Effectively-Bacteria-Nourishes/dp/B086K2KMNR/ref=zg_bs_g_11060451_d_sccl_50/134-7398474-9093341?psc=1,33315,16.17,Body,Soaps,Dove,50000.0,Trending again
B081FFRGZB,51,https://www.amazon.com/Softsoap-Antibacterial-Liquid-Refill-White/dp/B081FFRGZB/ref=zg_bs_g_11060451_d_sccl_1/134-7398474-9093341?psc=1,13159,5.97,Body,Hand Wash,Softsoap,30000.0,Potential Growth
B0009EILKS,52,https://www.amazon.com/Bior%C3%A9-Blackhead-Unclogging-Technology-Non-Comedogenic/dp/B0009EILKS/ref=zg_bs_g_11060451_d_sccl_2/134-7398474-9093341?psc=1,81526,9.87,Face,Pore Cleansing Strips,Bioré,30000.0,Trending again
B0054LHI5A,53,https://www.amazon.com/Burts-Bees-Moisturizing-Original-Peppermint/dp/B0054LHI5A/ref=zg_bs_g_11060451_d_sccl_3/134-7398474-9093341?psc=1,87786,10.48,Lip Care,Balms & Moisturizers,Burt's Bees,30000.0,Trending again
B0BT1VXDGD,54,https://www.amazon.com/Method-Body-Peace-Paraben-Phthalate/dp/B0BT1VXDGD/ref=zg_bs_g_11060451_d_sccl_4/134-7398474-9093341?psc=1,5707,10.97,Body,Body Washes,Method,30000.0,Potential Growth
B000NWGCZ2,55,https://www.amazon.com/Vanicream-Moisturizing-Sensitive-Irritated-Dermatologist/dp/B000NWGCZ2/ref=zg_bs_g_11060451_d_sccl_5/134-7398474-9093341?psc=1,43483,13.56,Face,Face Moisturizers,Vanicream,50000.0,Trending again
B001UTK76C,56,https://www.amazon.com/Jergens-Natural-FIRMING-Moisturizer-Medium/dp/B001UTK76C/ref=zg_bs_g_11060451_d_sccl_6/134-7398474-9093341?psc=1,38783,10.47,Sunscreens & Tanning Products,Self-Tanners,Jergens,10000.0,Potential Growth
B00I51885U,57,https://www.amazon.com/Carroten-Tan-Express-Intensive-Tanning/dp/B00I51885U/ref=zg_bs_g_11060451_d_sccl_7/134-7398474-9093341?psc=1,9812,26.96,Sunscreens & Tanning Products,Tanning Oils & Lotions,Carroten,20000.0,Potential Growth
B0CVW6NSD2,58,https://www.amazon.com/Terra-Lotus-Organic-Grass-Fed-Tallow/dp/B0CVW6NSD2/ref=zg_bs_g_11060451_d_sccl_8/134-7398474-9093341?psc=1,1797,19.99,Face,Face Moisturizers,Terra Lotus,20000.0,Potential Growth
B07XXPHQZK,59,https://www.amazon.com/Laneige-Sleeping-Berry/dp/B07XXPHQZK/ref=zg_bs_g_11060451_d_sccl_9/134-7398474-9093341?psc=1,48152,24.0,Lip Care,Balms & Moisturizers,LANEIGE,20000.0,Trending again
B07G1VKCND,60,https://www.amazon.com/Rael-Hydrocolloid-Pimple-Healing-Patch/dp/B07G1VKCND/ref=zg_bs_g_11060451_d_sccl_10/134-7398474-9093341?psc=1,69994,16.99,Face,Pore Cleansing Strips,Rael,30000.0,Trending again
B0C42HJRBF,61,https://www.amazon.com/Summer-Fridays-Lip-Butter-Balm/dp/B0C42HJRBF/ref=zg_bs_g_11060451_d_sccl_11/134-7398474-9093341?psc=1,3821,32.02,Lip Care,Balms & Moisturizers,Summer Fridays,27037.0,Potential Growth
B07VWSN95S,62,https://www.amazon.com/CeraVe-Post-Acne-Refining-Resurfacing-Brightening/dp/B07VWSN95S/ref=zg_bs_g_11060451_d_sccl_12/134-7398474-9093341?psc=1,50463,18.68,Face,Serums,unknown,40000.0,Trending again
B0DMQ7J3YQ,63,https://www.amazon.com/Olay-Lasting-Hydration-Ingredient-Luminous/dp/B0DMQ7J3YQ/ref=zg_bs_g_11060451_d_sccl_13/134-7398474-9093341?psc=1,1242,12.99,Body,Body Washes,Olay,27547.0,Potential Growth
B0C7W6GW8P,64,https://www.amazon.com/l-f-Moisturizing-Hyaluronic-Cruelty-free-Strawberry/dp/B0C7W6GW8P/ref=zg_bs_g_11060451_d_sccl_14/134-7398474-9093341?psc=1,9434,4.0,Lip Care,Balms & Moisturizers,e.l.f.,30000.0,Potential Growth
B007HD570Q,65,https://www.amazon.com/Thayers-Alcohol-Free-Petal-Formula-12-Facial/dp/B007HD570Q/ref=zg_bs_g_11060451_d_sccl_15/134-7398474-9093341?psc=1,128380,9.85,Face,Toners & Astringents,THAYERS,10000.0,Trending again
B005IHT94S,66,https://www.amazon.com/Neutrogena-Ultra-Dry-Touch-Sunscreen-Spectrum/dp/B005IHT94S/ref=zg_bs_g_11060451_d_sccl_16/134-7398474-9093341?psc=1,90545,8.88,Sunscreens & Tanning Products,Body Sunscreens,unknown,30000.0,Trending again
B00QY1XZ4W,67,https://www.amazon.com/Vanicream-Gentle-Cleanser-sensitive-Dispenser/dp/B00QY1XZ4W/ref=zg_bs_g_11060451_d_sccl_17/134-7398474-9093341?psc=1,29422,8.86,Face,Washes,Vanicream,50000.0,Trending again
B09YZ16XCN,68,https://www.amazon.com/Gold-Bond-Corrector-Replenishing-Smoothing/dp/B09YZ16XCN/ref=zg_bs_g_11060451_d_sccl_18/134-7398474-9093341?psc=1,39772,12.99,Body,Lotions,Gold Bond,20000.0,Potential Growth
