id,top,link,rating_count,price,skin_type,category,brand,bought_info
B074PVTPBW,1,https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_11060451_d_sccl_1/140-9952127-4989607?psc=1,171652,12.99,Face,Treatments & Masks,Mighty Patch,100000.0
B07PBXXNCY,2,https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_11060451_d_sccl_2/140-9952127-4989607?psc=1,31948,17.95,Face,Cloths & Towelettes,CLEAN SKIN CLUB,100000.0
B08KT2Z93D,3,https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/ref=zg_bs_g_11060451_d_sccl_3/140-9952127-4989607?psc=1,34136,8.98,Body,Lotions,eos,100000.0
B00U2VQZDS,4,https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_11060451_d_sccl_4/140-9952127-4989607?psc=1,114890,9.97,Face,Cloths & Towelettes,Neutrogena,100000.0
B09V7Z4TJG,5,https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_11060451_d_sccl_5/140-9952127-4989607?psc=1,3587,17.9,Face,Toners & Astringents,medicube,100000.0
B0B2RM68G2,6,https://www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/ref=zg_bs_g_11060451_d_sccl_6/140-9952127-4989607?psc=1,12134,19.0,Face,Masks,BIODANCE,100000.0
B081KL2QYJ,7,https://www.amazon.com/PanOxyl-Foaming-Peroxide-Strength-Antimicrobial/dp/B081KL2QYJ/ref=zg_bs_g_11060451_d_sccl_7/140-9952127-4989607?psc=1,67428,9.77,Face,Washes,PanOxyl,83652.0
B01N9SPQHQ,8,https://www.amazon.com/Roche-Posay-Toleriane-Double-Repair-Moisturizer/dp/B01N9SPQHQ/ref=zg_bs_g_11060451_d_sccl_8/140-9952127-4989607?psc=1,64685,23.99,Face,Face Moisturizers,La Roche-Posay,90688.0
B00MEDOY2G,9,https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/ref=zg_bs_g_11060451_d_sccl_9/140-9952127-4989607?psc=1,120736,10.97,Body,Body Washes,Dove,80000.0
B071914GGL,10,https://www.amazon.com/Ordinary-Exfoliating-Brightening-Smoothing-Even-Looking/dp/B071914GGL/ref=zg_bs_g_11060451_d_sccl_10/140-9952127-4989607?psc=1,23017,13.0,Face,Facial Peels,The Ordinary,90008.0
B07MFMWFYL,11,https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07MFMWFYL/ref=zg_bs_g_11060451_d_sccl_11/140-9952127-4989607?psc=1,5040,8.58,Body,Hand Wash,MRS. MEYER'S CLEAN DAY,30000.0
B09MFMCTRK,12,https://www.amazon.com/Valitic-Remover-Vitamin-Collagen-Turmeric/dp/B09MFMCTRK/ref=zg_bs_g_11060451_d_sccl_12/140-9952127-4989607?psc=1,44432,14.99,Body,Soaps,VALITIC,80000.0
B00TTD9BRC,13,https://www.amazon.com/CeraVe-Moisturizing-Cream-Daily-Moisturizer/dp/B00TTD9BRC/ref=zg_bs_g_11060451_d_sccl_13/140-9952127-4989607?psc=1,130837,16.61,Face,Face Moisturizers,CeraVe,100000.0
B00PBX3L7K,14,https://www.amazon.com/COSRX-Repairing-Hydrating-Secretion-Phthalates/dp/B00PBX3L7K/ref=zg_bs_g_11060451_d_sccl_14/140-9952127-4989607?psc=1,84135,18.44,Face,Serums,unknown,83907.0
B000YJ2SLG,15,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B000YJ2SLG/ref=zg_bs_g_11060451_d_sccl_15/140-9952127-4989607?psc=1,124251,13.68,Body,Lotions,CeraVe,60000.0
B0BRMYHMS5,16,https://www.amazon.com/Medicube-Collagen-Wrapping-Elasticity-Hydration/dp/B0BRMYHMS5/ref=zg_bs_g_11060451_d_sccl_16/140-9952127-4989607?psc=1,3052,18.9,Face,Masks,medicube,100000.0
B00949CTQQ,17,https://www.amazon.com/Paulas-Choice-SKIN-PERFECTING-Exfoliant-Facial-Blackheads/dp/B00949CTQQ/ref=zg_bs_g_11060451_d_sccl_17/140-9952127-4989607?psc=1,106648,35.0,Face,Facial Peels,Paula's Choice,85380.0
B01MSSDEPK,18,https://www.amazon.com/CeraVe-Hydrating-Facial-Cleanser-Fragrance/dp/B01MSSDEPK/ref=zg_bs_g_11060451_d_sccl_18/140-9952127-4989607?psc=1,120128,15.48,Face,Washes,CeraVe,70000.0
B01MYEZPC8,19,https://www.amazon.com/Ordinary-Hyaluronic-Acid-2-30ml/dp/B01MYEZPC8/ref=zg_bs_g_11060451_d_sccl_19/140-9952127-4989607?psc=1,21845,9.9,Face,Serums,unknown,66789.0
B002MSN3QQ,20,https://www.amazon.com/EltaMD-Acne-Prone-Mineral-Based-Dermatologist-Recommended/dp/B002MSN3QQ/ref=zg_bs_g_11060451_d_sccl_20/140-9952127-4989607?psc=1,44470,44.0,Sunscreens & Tanning Products,Facial Sunscreens,unknown,70000.0
B00SK71SAG,21,https://www.amazon.com/Dove-Hypoallergenic-Paraben-Free-Sulfate-Free-Cruelty-Free/dp/B00SK71SAG/ref=zg_bs_g_11060451_d_sccl_21/140-9952127-4989607?psc=1,57197,9.87,Body,Body Washes,Dove,40000.0
